BOT Claim Time,Location,Wallet Address
2026-02-24T11:42:10.567980Z,Indonesia,0xD2dc775648c2eF08560876113A92B94F5f3a3f86
2026-02-24T11:41:56.294086Z,Indonesia,0xe4182D84A3d3c7CF2f2Fa37621C21a3f8fAfd972
2026-02-24T11:41:42.098425Z,Indonesia,0x741dEB06E541e51e709c4a7a91C3751d259AcE85
2026-02-24T11:41:40.822421Z,Indonesia,0xdA25ec63742bd261BF0c2BED79CB57A21EA365Ff
2026-02-24T11:41:40.634586Z,Indonesia,0x055DD74546937E92B3a575F601eedF4520f9E8a5
2026-02-24T11:41:40.086644Z,Indonesia,0x295eB98a46d3E4AFa18fA964D0bEf8a1C64537Ce
2026-02-24T11:41:30.000899Z,Indonesia,0x1edEF7eb3c49685Aa8Bb8cF66960B1048f3844D8
2026-02-24T11:41:27.022202Z,Indonesia,0xBc9441a86A0E43c8661ACA64545C86Fbd931e912
2026-02-24T11:41:26.557772Z,Indonesia,0x67859a1fF3d6569aDa8A89eDc244c6908A0731cF
2026-02-24T11:41:16.146572Z,Indonesia,0x9140F8bFCFA02D5b85E01b3D3724873505625b47
2026-02-24T11:41:10.051854Z,Indonesia,0x7fB3a7350E180Fd9567E594e79ACeAfd93628898
2026-02-24T11:40:51.326917Z,Indonesia,0xd96FA90b659047CB08874e840C856fB13b570222
2026-02-24T11:40:46.669907Z,Indonesia,0x89927B23dB2EE000dD18D40E9F7913FD889F7507
2026-02-24T11:40:45.537803Z,Indonesia,0x12b141665dA4A5f617c759ad996Ef91Ad806a9C0
2026-02-24T11:40:45.254998Z,Indonesia,0x429114Ec302257A9cBE9A99a5647165D4029CA5d
2026-02-24T11:40:43.831836Z,Indonesia,0x72f9E75ce77f0a5DaA226cB1edAeAa6D050985FC
2026-02-24T11:40:31.418550Z,Indonesia,0xD8eFA629F68E77B0d45D5FBC4790f4541cCf4c50
2026-02-24T11:40:25.327598Z,Indonesia,0x564497810e00b8a4A1A35B3837a16BaD19d7b0bB
2026-02-24T11:40:17.868746Z,Indonesia,0x3B70897786380dBa27798c2ad0eDcEAF4743E1aE
2026-02-24T11:40:03.331221Z,Indonesia,0xfD5598B3265c321b177560F7f1024AdB70101790
2026-02-24T11:39:51.674279Z,Indonesia,0x980ebFC6d03284e1Aad1D3DA407A684Bf247BE4C
2026-02-24T11:39:48.472412Z,Indonesia,0xd25CfB9a1781835e5FF7e6125Cc9dD28743a5c64
2026-02-24T11:39:42.832191Z,Indonesia,0xB45507fc01050fe7286586A826c5BA60b9985dec
2026-02-24T11:39:34.519320Z,Indonesia,0x45e4517786a970E678a7D807d21eba88F73E2a8c
2026-02-24T11:39:28.216914Z,Indonesia,0x23A571B644e89e9c07E2552FfF228b885CbF15f4
2026-02-24T11:39:24.584100Z,Indonesia,0x78C71ea41751a8cbc7E51995B81DA6912b389E9C
2026-02-24T11:39:16.838070Z,Indonesia,0x96990844915eae5f39366dAabE1c0793Ac9Ed574
2026-02-24T11:38:42.959030Z,Indonesia,0x9df76F078e433597758eC05dce08Ae399C108eB9
2026-02-24T11:38:41.160469Z,Indonesia,0xD2E87aE1508Cb4a587809Bbff373B4faC60E7f0F
